control_id,original_report_category,canonical_system,original_name,clinical_label
M001,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Blood Viscosity,Blood Viscosity
M002,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Cholesterol Crystal,Cholesterol Crystal
M003,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Blood Fat,Blood Fat
M004,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Vascular Resistance,Vascular Resistance
M005,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Vascular Elasticity,Vascular Elasticity
M006,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Myocardial Blood Demand,Myocardial Blood Demand
M007,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Myocardial Blood Perfusion Volume,Myocardial Perfusion
M008,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Myocardial Oxygen Consumption,Myocardial Oxygen Consumption
M009,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Stroke Volume,Stroke Volume
M010,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Left Ventricular Ejection Impedance,LV Ejection Impedance
M011,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Left Ventricular Effective Pump Power,LV Pump Power
M012,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Coronary Artery Elasticity,Coronary Artery Elasticity
M013,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Coronary Perfusion Pressure,Coronary Perfusion Pressure
M014,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Cerebral Blood Vessel Elasticity,Cerebral Blood Vessel Elasticity
M015,(Cardiovascular and Cerebrovascular) Analysis Report Card,Cardiovascular & circulation,Brain Tissue Blood Supply Status,Brain Tissue Blood Supply Status
M016,(Gastrointestinal Function) Analysis Report Card,Upper digestive function,Pepsin Secretion Coefficient,Pepsin Secretion Coefficient
M017,(Gastrointestinal Function) Analysis Report Card,Upper digestive function,Gastric Peristalsis Function Coefficient,Gastric Peristalsis Function Coefficient
M018,(Gastrointestinal Function) Analysis Report Card,Upper digestive function,Gastric Absorption Function Coefficient,Gastric Absorption Function Coefficient
M019,(Gastrointestinal Function) Analysis Report Card,Upper digestive function,Small Intestine Peristalsis Function Coefficient,Small Intestine Motility
M020,(Gastrointestinal Function) Analysis Report Card,Upper digestive function,Small Intestine Absorption Function Coefficient,Small Intestine Absorption
M021,(Large Intestine Function) Analysis Report Card,Lower digestive function,Large intestine peristalsis function coefficient,Colon Motility
M022,(Large Intestine Function) Analysis Report Card,Lower digestive function,Colonic absorption coefficient,Colon Absorption
M023,(Large Intestine Function) Analysis Report Card,Lower digestive function,Intestinal bacteria coefficient,Gut Microbiome
M024,(Large Intestine Function) Analysis Report Card,Lower digestive function,Intraluminal pressure coefficient,Intraluminal pressure coefficient
M025,(Liver Function) Analysis Report Card,Liver function,Protein Metabolism,Protein Metabolism
M026,(Liver Function) Analysis Report Card,Liver function,Energy Production  Function,Energy Production Function
M027,(Liver Function) Analysis Report Card,Liver function,Detoxification Function,Detoxification Function
M028,(Liver Function) Analysis Report Card,Liver function,Bile Secretion Function,Bile Secretion Function
M029,(Liver Function) Analysis Report Card,Liver function,Liver Fat Content,Liver Fat Content
M030,(Gallbladder Function) Analysis Report Card,Gallbladder & bile flow,Serum Globulin (A/G),Serum Globulin (A/G)
M031,(Gallbladder Function) Analysis Report Card,Gallbladder & bile flow,Total Bilirubin (TBIL),Total Bilirubin (TBIL)
M032,(Gallbladder Function) Analysis Report Card,Gallbladder & bile flow,Alkaline Phosphatase (ALP),Alkaline Phosphatase (ALP)
M033,(Gallbladder Function) Analysis Report Card,Gallbladder & bile flow,Serum Total Bile Acid (TBA,Serum Total Bile Acid (TBA
M034,(Gallbladder Function) Analysis Report Card,Gallbladder & bile flow,Bilirubin (DBIL),Bilirubin (DBIL)
M035,(Pancreatic Function) Analysis Report Card,Pancreatic function,Insulin,Insulin
M036,(Pancreatic Function) Analysis Report Card,Pancreatic function,Pancreatic Polypeptide (PP),Pancreatic Polypeptide (PP)
M037,(Pancreatic Function) Analysis Report Card,Pancreatic function,Glucagon,Glucagon
M038,(Kidney Function) Analysis Report Card,Kidney & fluid balance,Urobilinogen Index,Urobilinogen Index
M039,(Kidney Function) Analysis Report Card,Kidney & fluid balance,Uric acid Index,Uric acid Index
M040,(Kidney Function) Analysis Report Card,Kidney & fluid balance,Blood urea nitrogen(BUN) Index,BUN
M041,(Kidney Function) Analysis Report Card,Kidney & fluid balance,Proteinuria Index,Proteinuria Index
M042,(Lung Function) Analysis Report Card,Lung function,Vital Capacity VC,Vital Capacity
M043,(Lung Function) Analysis Report Card,Lung function,Total Lung Capacity TLC,Total Lung Capacity
M044,(Lung Function) Analysis Report Card,Lung function,Airway Resistance RAM,Airway Resistance
M045,(Lung Function) Analysis Report Card,Lung function,Arterial Oxygen Content PaCO2,Arterial Oxygen Content
M046,(Brain Nerve) Analysis Report Card,Neurological function,Status of Brain Tissue Blood Supply,Brain Tissue Blood Supply
M047,(Brain Nerve) Analysis Report Card,Neurological function,Cerebral Arteriosclerosis,Cerebral Arteriosclerosis
M048,(Brain Nerve) Analysis Report Card,Neurological function,Functional Status of Cranial Nerve,Cranial Nerve Function
M049,(Brain Nerve) Analysis Report Card,Neurological function,Sentiment Index,Sentiment Index
M050,(Brain Nerve) Analysis Report Card,Neurological function,Memory Index(ZS),Memory
M051,(Bone Disease) Analysis Report Card,Bone disease patterns,Lumbar Fiber Protruding Dimension,Lumbar Fiber Protruding Dimension
M052,(Bone Disease) Analysis Report Card,Bone disease patterns,Adhesion Degree of Shoulder Muscle,Adhesion Degree of Shoulder Muscle
M053,(Bone Disease) Analysis Report Card,Bone disease patterns,Limbs Circulation Limit,Limbs Circulation Limit
M054,(Bone Disease) Analysis Report Card,Bone disease patterns,Age of Ligament,Age of Ligament
M055,(Bone Mineral Density) Analysis Report Card,Bone density & structure,Osteoclast Coefficient,Osteoclast Coefficient
